ID,Notional,MtM,1m,2m,3m,4m,5m,6m,7m,8m,9m,10m,11m,1y,2y,3y,4y,5y,10y
1,8939000,214000,-27.44588874,-27.39535607,0.008122213,0.013442764,0.022488859,193.7411029,-164.549612,-78.36025045,0.067178045,0.07594233,0.104629062,75.211716,-3.657588246,-3.98101432,17.70644997,-24370.40541,-44315.8051
2,20303000,194000,0.002344001,0.008666667,-230.7083494,-20.58773574,0.055208406,136.7574924,0.096144119,0.121114819,-593.6439771,-104.137295,0.231681355,-22100.0536,-15752.16419,0,0,0,0
3,49091000,125000,0.005444063,0.021996979,-1385.779309,-25247.80496,0,0,0,0,0,0,0,0,0,0,0,0,0
4,12121000,-554000,-0.001229231,-0.005005453,84.19656243,92.7842913,-0.027783938,-260.792042,-0.063009132,-0.077188115,207.1145812,195.6367184,-0.121554465,-292.4960372,25183.82682,14993.23319,0,0,0
5,11364000,-25000,-0.001336438,-0.004358656,75.07701766,88.40584619,-0.030071835,-279.2416061,-0.056097294,-0.074356987,174.8515855,177.13956,-0.124358857,-253.6551321,-1.77912788,8625.102384,45246.07719,0,0
6,73030000,668000,-49.8422019,-459.5140717,0.064965762,0.113338761,0.172442697,1591.641604,-245.7929402,-1846.94253,0.585083807,0.635786242,0.853442628,885.9251165,-168690.6384,-49496.53458,0,0,0
7,51288000,-120000,-0.005644168,13179.29154,1168.727946,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,51288000,-113000,-0.006164246,11679.95307,4230.864395,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,51288000,-116000,-0.005297276,10823.60864,4223.470057,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,9394000,-109000,-0.000925988,-0.004019433,-0.009532906,70.17682031,83.26092637,-0.033075784,-0.041980885,-0.055540445,-0.077795191,5337.173614,6018.097419,0,0,0,0,0,0
11,27273000,272000,0.003054026,0.011033585,-21.34660045,-439.9568133,0.066361105,0.100926694,0.120619632,0.156770192,0.20042333,-34542.1645,0,0,0,0,0,0,0
12,74242000,-418000,-0.008622027,16560.16721,4540.383479,0,0,0,0,0,0,0,0,0,0,0,0,0,0
